Month,Ayr Hospital,BARCALDINE HOSPITAL,BLACKALL HOSPITAL,Beaudesert Hospital,Biloela Hospital,Caloundra Hospital,Capricorn Coast Hospital,Charleville Hospital,Charters Towers Hospital,Cherbourg Hospital,Chinchilla Hospital,Cooktown Hospital,Cunnamulla Hospital,Dalby Hospital,Emerald Hospital,Goondiwindi Hospital,Ingham Hospital,Innisfail Hospital,Joyce Palmer Health Service,Kingaroy Hospital,Longreach Hospital,Oakey Hospital,Proserpine Hospital,Roma Hospital,St George Hospital,Stanthorpe Hospital,Thursday Island Hospital,WINTON  HOSPITAL,Warwick Hospital,Weipa Hospital
2017-04-01,984.0,190.0,247.0,1204.0,465.0,0.0,1149.0,488.0,696.0,467.0,739.0,449.0,193.0,962.0,928.0,731.0,584.0,1452.0,693.0,1121.0,393.0,225.0,1057.0,767.0,457.0,712.0,440.0,94.0,1650.0,596.0
2017-05-01,861.0,205.0,177.0,1158.0,538.0,0.0,1083.0,512.0,803.0,400.0,846.0,395.0,173.0,955.0,1059.0,746.0,651.0,1243.0,609.0,1246.0,458.0,202.0,988.0,760.0,486.0,704.0,386.0,120.0,1807.0,664.0
2017-06-01,888.0,127.0,105.0,1026.0,532.0,0.0,1060.0,506.0,843.0,405.0,860.0,417.0,238.0,906.0,984.0,747.0,672.0,1197.0,600.0,1190.0,391.0,245.0,952.0,700.0,494.0,617.0,323.0,127.0,1763.0,717.0
2017-07-01,938.0,142.0,115.0,1077.0,543.0,0.0,1190.0,460.0,922.0,415.0,782.0,441.0,225.0,855.0,1133.0,797.0,685.0,1324.0,650.0,1197.0,364.0,217.0,1025.0,757.0,482.0,679.0,401.0,148.0,1807.0,667.0
2017-08-01,882.0,156.0,114.0,1271.0,617.0,0.0,1245.0,560.0,965.0,454.0,961.0,485.0,196.0,1076.0,1240.0,858.0,731.0,1272.0,677.0,1443.0,349.0,262.0,1229.0,887.0,577.0,638.0,455.0,151.0,2093.0,730.0
2017-09-01,969.0,157.0,121.0,1153.0,606.0,0.0,1150.0,662.0,825.0,485.0,820.0,415.0,237.0,976.0,1129.0,845.0,642.0,1338.0,702.0,1226.0,368.0,234.0,1224.0,1008.0,547.0,712.0,415.0,136.0,1714.0,765.0
2017-10-01,911.0,112.0,170.0,1105.0,528.0,0.0,1256.0,478.0,943.0,477.0,792.0,461.0,235.0,931.0,1030.0,698.0,664.0,1350.0,666.0,1258.0,327.0,239.0,1115.0,681.0,529.0,695.0,517.0,80.0,1732.0,715.0
2017-11-01,977.0,116.0,133.0,1076.0,522.0,0.0,1173.0,477.0,893.0,436.0,841.0,430.0,219.0,875.0,999.0,663.0,621.0,1308.0,624.0,1265.0,307.0,230.0,1209.0,817.0,534.0,655.0,452.0,84.0,1724.0,601.0
2017-12-01,1203.0,133.0,123.0,1167.0,607.0,0.0,1382.0,525.0,744.0,563.0,874.0,378.0,215.0,931.0,926.0,817.0,668.0,1345.0,743.0,1378.0,300.0,262.0,1184.0,778.0,562.0,797.0,429.0,133.0,1738.0,655.0
2018-01-01,992.0,101.0,100.0,1082.0,530.0,0.0,1288.0,611.0,814.0,521.0,860.0,444.0,215.0,899.0,985.0,758.0,603.0,1200.0,750.0,1467.0,238.0,231.0,1064.0,790.0,588.0,798.0,393.0,84.0,1832.0,759.0
2018-02-01,932.0,99.0,106.0,1012.0,452.0,0.0,1046.0,446.0,773.0,457.0,762.0,418.0,171.0,858.0,884.0,634.0,592.0,1171.0,669.0,1172.0,259.0,186.0,1039.0,648.0,432.0,700.0,383.0,72.0,1625.0,592.0
2018-03-01,1127.0,155.0,139.0,1125.0,586.0,0.0,1205.0,404.0,866.0,505.0,775.0,437.0,180.0,1135.0,1082.0,652.0,692.0,1426.0,702.0,1398.0,328.0,227.0,1243.0,831.0,559.0,796.0,502.0,91.0,1720.0,695.0
2018-04-01,1091.0,106.0,132.0,1212.0,541.0,0.0,1173.0,416.0,897.0,537.0,724.0,459.0,134.0,1001.0,1008.0,699.0,682.0,1483.0,827.0,1380.0,321.0,213.0,1091.0,786.0,593.0,767.0,396.0,146.0,1465.0,653.0
2018-05-01,999.0,149.0,150.0,979.0,569.0,1095.0,1192.0,425.0,957.0,450.0,762.0,499.0,133.0,916.0,990.0,733.0,681.0,1290.0,643.0,1262.0,290.0,249.0,1119.0,795.0,508.0,823.0,445.0,76.0,1594.0,696.0
2018-06-01,951.0,134.0,85.0,958.0,501.0,973.0,1124.0,397.0,838.0,395.0,767.0,430.0,179.0,908.0,1084.0,660.0,642.0,1241.0,676.0,1346.0,318.0,200.0,1065.0,716.0,518.0,643.0,416.0,123.0,1409.0,622.0
